               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11164,            0.025292,                   0,           0.0016216,             0.37895,           0.0059739,           0.0018094,            0.092816,            0.016954,                   0,              0.0766,              0.0026,              0.0026
                   1,            0.090521,            0.019199,                   0,            0.017409,             0.38947,             0.13525,            0.049212,            0.084501,            0.012289,                   0,            0.052038,           0.0050376,           0.0050376
                   2,            0.076796,            0.018229,                   0,             0.30438,             0.29474,             0.24932,              0.1124,            0.072592,            0.010874,                   0,            0.027208,            0.007208,            0.007208
                   3,            0.069065,            0.017905,                   0,             0.21261,             0.32632,             0.21707,            0.082168,             0.07056,            0.010688,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.063473,            0.018325,                   0,             0.55289,             0.27368,              0.2861,              0.1568,            0.062905,            0.010885,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.056142,            0.017105,                   0,              0.6104,             0.36842,             0.38451,              0.2206,            0.052394,            0.010186,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.051425,            0.017523,                   0,             0.76671,             0.47368,             0.49508,             0.19649,            0.054497,           0.0083983,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.050048,            0.014027,                   0,              0.8716,             0.43158,             0.54916,             0.29594,            0.047042,            0.008412,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.048369,            0.014389,                   0,             0.68215,             0.49703,              0.5812,             0.27296,            0.046965,           0.0076687,                   0,            0.006535,            0.006535,            0.006535
                   9,             0.04757,            0.013287,                   0,              0.7558,             0.61901,             0.71277,             0.31122,            0.045747,           0.0071731,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.045848,            0.011019,                   0,             0.85071,              0.7198,             0.80357,             0.34415,            0.045331,           0.0064478,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.044286,            0.010391,                   0,             0.85231,             0.75789,             0.85464,             0.37187,            0.044746,           0.0061395,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.043307,            0.010554,                   0,             0.89632,             0.81905,             0.86443,             0.42104,            0.041995,           0.0056864,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.041264,           0.0092241,                   0,             0.87855,             0.73684,             0.82093,             0.36628,            0.042262,           0.0053071,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.039704,           0.0084328,                   0,             0.87632,             0.81053,             0.85065,             0.38911,            0.043225,           0.0051868,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.040012,           0.0088585,                   0,             0.89763,             0.83158,             0.85951,             0.42496,            0.040227,           0.0049652,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.037098,           0.0078898,                   0,             0.90172,             0.85263,             0.85848,             0.42139,            0.040812,           0.0048847,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.037501,           0.0082474,                   0,             0.89993,             0.85195,             0.86273,             0.45332,            0.040022,           0.0049039,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.035303,           0.0084547,                   0,             0.87905,             0.78947,             0.83892,             0.44138,            0.040353,           0.0048844,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.034253,           0.0076912,                   0,             0.90075,             0.84211,             0.88737,             0.43922,            0.039846,             0.00471,                   0,             0.00109,             0.00109,             0.00109
